Full Name,gsm_metabolite_id,metabolite_type
"1,3-beta-D-Glucan",13BDglcn[c],Carbohydrate
ADP,adp[c],Energy Molecule
L-Alanine,ala_L[c],Protein
AMP,amp[c],Energy Molecule
L-Arginine,arg_L[c],Protein
L-Asparagine,asn_L[c],Protein
L-Aspartate,asp_L[c],Protein
ATP,atp[c],Energy Molecule
Biomass,biomass[c],Other
Chitin Monomer,chitin[c],Carbohydrate
CMP,cmp[c],Energy Molecule
L-Cysteine,cys_L[c],Protein
dAMP,damp[c],Energy Molecule
dCMP,dcmp[c],Energy Molecule
dGMP,dgmp[c],Energy Molecule
dTMP,dtmp[c],Energy Molecule
Ergosterol,ergst[c],Lipid
L-Glutamine,gln_L[c],Protein
L-Glutamate,glu_L[c],Protein
Glycine,gly[c],Protein
GMP,gmp[c],Energy Molecule
H2O,h2o[c],Other
H,h[c],Other
L-Histidine,his_L[c],Protein
L-Isoleucine,ile_L[c],Protein
L-Leucine,leu_L[c],Protein
L-Lysine,lys_L[c],Protein
Mannan,mannan[c],Carbohydrate
L-Methionine,met_L[c],Protein
Phosphatidate (yeast specific),pa_SC[c],Lipid
Phosphatidylcholine (yeast specific),pc_SC[c],Lipid
Phosphatidylethanolamine (yeast specific),pe_SC[c],Lipid
L-Phenylalanine,phe_L[c],Protein
Phosphate,pi[c],Other
L-Proline,pro_L[c],Protein
Phosphatidylserine (yeast specific),ps_SC[c],Lipid
Phosphatidyl 1D-myo-inositol (yeast specific),ptd1ino_SC[c],Lipid
L-Serine,ser_L[c],Protein
Sulfate,so4[c],Other
L-Threonine,thr_L[c],Protein
Trehalose,tre[c],Carbohydrate
Triglyceride (yeast specific),triglyc_SC[c],Lipid
L-Tryptophan,trp_L[c],Protein
L-Tyrosine,tyr_L[c],Protein
UMP,ump[c],Energy Molecule
L-Valine,val_L[c],Protein
Zymosterol,zymst[c],Lipid
