metabolite,full_name,gsm_metabolite_id,mfa_coefficient_glucose,mfa_coefficient_oil
ALA,Alanine,ala_L[c],0.38,0.19
ARG,Arginine,arg_L[c],0.13,0.08
ASN,Asparagine,asn_L[c],0.196,0.196
ASP,Aspartate,asp_L[c],0.33,0.18
CYS,Cysteine,cys_L[c],0.036,0.036
GLN,Glutamine,gln_L[c],0.239,0.239
GLU,Glutamate,glu_L[c],0.52,0.29
GLY,Glycine,gly[c],0.29,0.17
HIS,Histidine,his_L[c],0.06,0.03
ILE,Isoleucine,ile_L[c],0.15,0.09
LEU,Leucine,leu_L[c],0.24,0.14
LYS,Lysine,lys_L[c],0.24,0.06
MET,Methionine,met_L[c],0.112,0.112
PHE,Phenylalanine,phe_L[c],0.13,0.08
PRO,Proline,pro_L[c],0.15,0.12
SER,Serine,ser_L[c],0.22,0.11
THR,Threonine,thr_L[c],0.221,0.221
TRP,Tryptophan,trp_L[c],0.036,0.036
TYR,Tyrosine,tyr_L[c],0.06,0.05
VAL,Valine,val_L[c],0.2,0.13
ACCOAcyt,Acetyl-CoA (cytosolic),accoa[c],3.902,6.503
DHAP,DHAP,dhap[c],0.186,0.31
ATP,ATP,atp[c],3.902,6.503
NADPH,NADPH,nadph[c],7.804,13.006
NADH,NADH,nadh[c],0.186,0.31
