pathway,compartment,Equation,reaction_ids,13C_mfa_flux,StdErr,13C_mfa_flux_95%_lower_bound,13C_mfa_flux_95%_upper_bound,Glucose 1 Flux,Glucose 2 Flux,Glucose 3 Flux,E-Flux2 Flux,E-Flux2 Flux Std
substrate_uptake,cytosol,Glucose + ATP -> G6P,reverse_EX_glc(e),100.0,0.1,99.804,100.196,100.0,100.0,100.0,100.0,0.0
emp,cytosol,G6P <-> F6P,PGI,26.3569,1.7406,20.8287,29.7882,-43.54579684869206,-44.92337795873628,-44.14833210481247,-44.2058356374136,0.6905884598542555
emp,cytosol,F6P + ATP <-> FBP,PFK or reverse_FBP,65.3062,0.6654,63.4425,67.9137,0.0,0.0,0.0,0.0,0.0
emp,cytosol,FBP <-> DHAP + GAP,FBA,65.3062,0.6654,63.4425,67.9137,0.0,0.0,0.0,0.0,0.0
emp,cytosol,DHAP <-> GAP,TPI,65.2977,0.6641,63.4347,67.9034,23.074887928229824,21.057457972400538,22.192491482548487,22.10827912772628,1.0113479604952316
emp,cytosol,GAP <-> G3P + ATP + NADH,GAPD,149.2144,0.9235,147.3067,155.5588,96.97372904022765,95.38414639516108,96.27846719380237,96.21211420973037,0.7968659142199855
emp,cytosol,G3P <-> PEP,ENO,147.3693,0.9699,143.5083,154.1212,88.52676784215103,87.07564685115224,87.8920672415125,87.83149397827192,0.7274543784967108
emp,cytosol,PEP <-> PYRcyt + ATP,PYK,140.1666,1.1072,136.2425,763.1491,85.90781396585504,84.49962257724644,85.29189018988603,85.23310891099584,0.7059335491381815
pentose_phosphate,cytosol,G6P -> PG6 + NADPH,G6PDH2,66.5493,1.7228,60.2717,72.0662,132.7573052829148,134.3117301539356,133.43718959676866,133.50207501120636,0.779241142180686
pentose_phosphate,cytosol,PG6 -> P5P + CO2 + NADPH,GND,66.5493,1.7228,60.2717,72.0662,133.5214411649896,135.06334040511388,134.19584693811342,134.26020950273895,0.7729619793158272
pentose_phosphate,cytosol,P5P + P5P <-> S7P + GAP,TKT1,21.8067,0.5737,19.7105,23.645,43.838732006684225,44.363655005631365,44.068326192687515,44.09023773500104,0.2631465855199963
pentose_phosphate,cytosol,S7P + GAP <-> E4P + F6P,TALA,21.8067,0.5737,19.7105,23.645,12.49153512861041,13.134631616213381,12.7728167925667,12.799661179130164,0.3223875601032027
pentose_phosphate,cytosol,E4P + P5P <-> F6P + GAP,TKT2,18.2053,0.5757,17.01,20.1817,42.52925506853623,43.075642868678464,42.76823766687428,42.791045201363,0.273907000199261
glycerol_formation,cytosol,DHAP + NADH <-> GLYC,G3PD1ir,0.0084,0.1005,-3.56e-14,0.2044,0.0,0.0,0.0,0.0,0.0
transport,extracellular,GLYC -> GLYC_EX,reverse_GLYCt,0.0084,0.1005,0.0,0.2044,-7.248395808714393,-9.16443614689398,-8.086445813526964,-8.166425923045113,0.9605208263342019
transport,mitochondria,PYRcyt -> PYRmit,PYRt2m,117.1848,66.8795,18.7209,131.0564,55.01192849299942,54.11017904323005,54.617515538501294,54.579874358243586,0.4520516136219789
tca_cycle,mitochondria,PYRmit -> ACCOAmit + CO2 + NADH,PDHm,98.551,76.2143,3.388,117.9897,29.244607897271088,28.76523351788622,29.03493605845574,29.014925824537684,0.2403128294510064
tca_cycle,mitochondria,ACCOAmit + OAAmit -> CITmit,CSm,70.3493,2.6442,56.7066,95.5216,14.304851831912325,14.070368282219885,14.202291913922808,14.192504009351673,0.11754780336532021
tca_cycle,mitochondria,CITmit <-> ICTmit,ACONTm,70.3493,2.6442,56.7066,95.5216,11.376289303850555,11.18981042733803,11.294725977523507,11.286941902904031,0.09348281504963706
transport,mitochondria,ICTmit -> ICTcyt,CITtcm,4.3244,11.2551,0.0,22.3358,-1.9776835047590944e-16,0.0,0.0,-6.592278349196981e-17,1.1418161038445459e-16
tca_cycle,mitochondria,ICTmit -> AKG + CO2 + NADH,ICDHxm,66.025,13.3258,18.4171,95.0629,0.0,0.0,0.0,0.0,0.0
tca_cycle,mitochondria,ICTmit -> AKG + CO2 + NADPH,ICDHym,1e-07,1.27e-11,0.0,51.4668,11.376289303850555,11.18981042733803,11.294725977523505,11.286941902904031,0.09348281504963699
tca_cycle,mitochondria,SUCmit <-> FUMmit + UQH2,SUCD2_u6m and SUCD1m,58.3403,2.921,53.255,87.0554,0.0,0.0,0.0,0.0,0.0
tca_cycle,mitochondria,0.5*FUMmit + 0.5*FUMmit <-> 0.5*MALmit + 0.5*MALmit,FUMm,59.597,2.892,54.5219,86.8212,0.0,0.0,0.0,0.0,0.0
