reaction_id,reaction_name,full_reaction,flux
H2Otm,H2O transport mitochondrial,h2o[c] <=> h2o[m],-430.41957536772725
ATPS3m,ATP synthase mitochondrial,adp[m] + 3.0 h[c] + pi[m] --> atp[m] + h2o[m] + 2.0 h[m],252.56969004485492
ATPtm_H,ADPATP transporter mitochondrial,adp[c] + atp[m] + h[c] --> adp[m] + atp[c] + h[m],244.71028840737233
PIt2m,phosphate transporter mitochondrial,h[c] + pi[c] <=> h[m] + pi[m],222.29352357402567
H2Ot,H2O transport via diffusion,h2o[e] <=> h2o[c],-221.31709110628884
EX_h2o(e),H2O exchange,h2o[e] <=> ,221.31709110628884
CYOR_u6m,ubiquinol 6 cytochrome c reductase,2.0 ficytc[m] + 1.5 h[m] + q6h2[m] --> 2.0 focytc[m] + 1.5 h[c] + q6[m],207.3866907531552
O2t,o2 transport diffusion ,o2[e] <=> o2[c],146.4589881365059
EX_o2(e),O2 exchange,o2[e] <=> ,-146.4589881365059
NADH2_u6m,NADH dehydrogenase mitochondrial,h[m] + nadh[m] + q6[m] --> nad[m] + q6h2[m],130.18238289009136
CYOOm,cytochrome c oxidase mitochondrial,4.0 focytc[m] + 6.0 h[m] + o2[m] --> 4.0 ficytc[m] + 2.0 h2o[m] + 6.0 h[c],103.69334537657761
O2tm,O2 transport diffusion ,o2[c] <=> o2[m],103.6933453765776
GLYK,glycerol kinase,atp[c] + glyc[c] --> adp[c] + glyc3p[c] + h[c],100.00000000000003
GLYCt,glycerol transport via channel,glyc[c] <=> glyc[e],-100.0
EX_glyc(e),Glycerol exchange,glyc[e] --> ,-100.0
G3PDm,glycerol 3 phosphate dehydrogenase FAD mitochondrial,glyc3p[m] + nad[m] --> dhap[m] + nadh[m],99.78210100753378
DHAPtm,dihydroxyacetone phosphate transport mitochondrial,dhap[m] --> dhap[c],99.78210100753378
GLYC3Ptm,glycerol 3 phosphate shuttle,glyc3p[c] --> glyc3p[m],99.78210100753377
NADH2_u6cm,NADH dehydrogenase cytosolicmitochondrial,h[c] + nadh[c] + q6[m] --> nad[c] + q6h2[m],76.90052465029093
TPI,triose phosphate isomerase,dhap[c] <=> g3p[c],66.85023255047649
PGK,phosphoglycerate kinase,3pg[c] + atp[c] <=> 13dpg[c] + adp[c],-61.18979247940423
GAPD,glyceraldehyde 3 phosphate dehydrogenase,g3p[c] + nad[c] + pi[c] <=> 13dpg[c] + h[c] + nadh[c],61.189792479404225
PPA,inorganic diphosphatase,h2o[c] + ppi[c] --> h[c] + 2.0 pi[c],49.48311252885724
EX_co2(e),CO2 exchange,co2[e] --> ,47.35567553386727
CO2t,CO2 transporter via diffusion,co2[e] <=> co2[c],-47.35567553386727
ADK1,adenylate kinase,amp[c] + atp[c] --> 2.0 adp[c],44.4064379519024
PRPPS,phosphoribosylpyrophosphate synthetase,atp[c] + r5p[c] <=> amp[c] + h[c] + prpp[c],42.314244012509285
PSP_L,phosphoserine phosphatase L serine ,h2o[c] + pser_L[c] --> pi[c] + ser_L[c],41.799762884347906
PSERT,phosphoserine transaminase,3php[c] + glu_L[c] --> akg[c] + pser_L[c],41.799762884347906
PGCD,phosphoglycerate dehydrogenase,3pg[c] + nad[c] --> 3php[c] + h[c] + nadh[c],41.799762884347906
EX_for(e),Formate exchange,for[e] --> ,41.58764396056035
FORt,formate transport via diffusion,for[e] <=> for[c],-41.58764396056035
ANPRT,anthranilate phosphoribosyltransferase,anth[c] + prpp[c] --> ppi[c] + pran[c],41.50775101822114
PRAIi,phosphoribosylanthranilate isomerase irreversible ,pran[c] --> 2cpr5p[c],41.50775101822114
IGPS,indole 3 glycerol phosphate synthase,2cpr5p[c] + h[c] --> 3ig3p[c] + co2[c] + h2o[c],41.507751018221136
TRPS1,tryptophan synthase indoleglycerol phosphate ,3ig3p[c] + ser_L[c] --> g3p[c] + h2o[c] + trp_L[c],41.507751018221136
KYN,kynureninase,Lkynr[c] + h2o[c] --> ala_L[c] + anth[c] + h[c],41.50298637912805
TRPO2,L Tryptophanoxygen 2 3 oxidoreductase decyclizing ,o2[c] + trp_L[c] --> Lfmkynr[c],41.50298637912804
FKYNH,N Formyl L kynurenine amidohydrolase,Lfmkynr[c] + h2o[c] --> Lkynr[c] + for[c] + h[c],41.50298637912804
ALATA_L,L alanine transaminase,akg[c] + ala_L[c] <=> glu_L[c] + pyr[c],40.24697010583976
HCO3E,HCO3 equilibration reaction,co2[c] + h2o[c] <=> h[c] + hco3[c],35.69135237646672
FBP,fructose bisphosphatase,fdp[c] + h2o[c] --> f6p[c] + pi[c],32.931868457057305
FBA,fructose bisphosphate aldolase,fdp[c] <=> dhap[c] + g3p[c],-32.9318684570573
GLNS,glutamine synthetase,atp[c] + glu_L[c] + nh4[c] --> adp[c] + gln_L[c] + h[c] + pi[c],30.168461013829074
PYRt2m,pyruvate mitochondrial transport via proton symport,h[c] + pyr[c] <=> h[m] + pyr[m],29.953278314739933
CO2tm,CO2 transport diffusion mitochondrial,co2[c] <=> co2[m],-29.197647233294944
PC,pyruvate carboxylase,atp[c] + hco3[c] + pyr[c] --> adp[c] + h[c] + oaa[c] + pi[c],29.131146356446006
RPI,ribose 5 phosphate isomerase,r5p[c] <=> ru5p_D[c],-28.356591214674804
RPE,ribulose 5 phosphate 3 epimerase,ru5p_D[c] <=> xu5p_D[c],-28.193975430070562
GLUSx,glutamate synthase NADH2 ,akg[c] + gln_L[c] + h[c] + nadh[c] --> 2.0 glu_L[c] + nad[c],25.690889740353096
CSm,citrate synthase,accoa[m] + h2o[m] + oaa[m] --> cit[m] + coa[m] + h[m],23.447804196330363
PDHm,pyruvate dehydrogenase,coa[m] + nad[m] + pyr[m] --> accoa[m] + co2[m] + nadh[m],23.17302004639087
CITtam,citrate transport mitochondrial,cit[c] + mal_L[m] <=> cit[m] + mal_L[c],-23.169134361928773
OAAt2m,oxaloacetate transport mitochondrial,h[c] + oaa[c] <=> h[m] + oaa[m],22.41676483334669
MALtm,malate transport mitochondrial,mal_L[c] + pi[m] <=> mal_L[m] + pi[c],-22.1380949989451
CITt2r,citrate reversible transport via symport,cit[e] + h[e] <=> cit[c] + h[c],-21.026815659569785
EX_cit(e),Citrate exchange,cit[e] --> ,21.026815659569785
EX_h(e),H exchange,h[e] <=> ,20.067489505663637
PGM,phosphoglycerate mutase,2pg[c] <=> 3pg[c],-19.390029595056326
ENO,enolase,2pg[c] <=> h2o[c] + pep[c],19.390029595056326
PYK,pyruvate kinase,adp[c] + h[c] + pep[c] --> atp[c] + pyr[c],18.832689926253096
EX_nh4(e),Ammonia exchange,nh4[e] <=> ,-15.609436676366178
NH4t,ammonia reversible transport,nh4[e] <=> nh4[c],15.609436676366178
TKT2,transketolase,e4p[c] + xu5p_D[c] <=> f6p[c] + g3p[c],-14.236322632236094
TKT1,transketolase,r5p[c] + xu5p_D[c] <=> g3p[c] + s7p[c],-13.957652797834474
TALA,transaldolase,g3p[c] + s7p[c] <=> e4p[c] + f6p[c],-13.957652797834474
GLUDy,glutamate dehydrogenase NADP ,glu_L[c] + h2o[c] + nadp[c] <=> akg[c] + h[c] + nadph[c] + nh4[c],12.711154667947959
ASPTA,aspartate transaminase,akg[c] + asp_L[c] <=> glu_L[c] + oaa[c],-6.714381523099321
ASADi,aspartate semialdehyde dehydrogenase irreversible,4pasp[c] + h[c] + nadph[c] --> aspsa[c] + nadp[c] + pi[c],4.554591666503032
HSDxi,homoserine dehydrogenase NADH irreversible,aspsa[c] + h[c] + nadh[c] --> hom_L[c] + nad[c],4.554591666503032
ASPKi,aspartate kinase irreversible,asp_L[c] + atp[c] --> 4pasp[c] + adp[c],4.554591666503032
THRS,threonine synthase,h2o[c] + phom[c] --> pi[c] + thr_L[c],4.456771476243603
HSK,homoserine kinase,atp[c] + hom_L[c] --> adp[c] + h[c] + phom[c],4.456771476243603
NDPK2,nucleoside diphosphate kinase ATPUDP ,atp[c] + udp[c] --> adp[c] + utp[c],4.148453597402383
THRA,Threonine aldolase,thr_L[c] --> acald[c] + gly[c],3.7908573499254836
ALCD2x,alcohol dehydrogenase ethanol ,etoh[c] + nad[c] <=> acald[c] + h[c] + nadh[c],-3.7908573499254827
ALCD2m,alcohol dehydrogenase ethanol mitochondrial,etoh[m] + nad[m] <=> acald[m] + h[m] + nadh[m],3.7908573499254823
ALDD2ym,aldehyde dehydrogenase acetylaldehyde NADP mitochondrial,acald[m] + h2o[m] + nadp[m] --> ac[m] + 2.0 h[m] + nadph[m],3.7908573499254823
ADK1m,adenylate kinase mitochondrial,amp[m] + atp[m] <=> 2.0 adp[m],3.7908573499254823
ETOHtm,ethanol transport to mitochondria diffusion ,etoh[c] <=> etoh[m],3.7908573499254823
PPAm,inorganic diphosphatase,h2o[m] + ppi[m] --> h[m] + 2.0 pi[m],3.7908573499254823
ACSm,acetyl CoA synthetase,ac[m] + atp[m] + coa[m] --> accoa[m] + amp[m] + ppi[m],3.7908573499254823
MLTHFtm,5 10 Methylenetetrahydrofolate transport diffusion mitochondrial,mlthf[c] <=> mlthf[m],-3.594364416078847
THFtm,Tetrahydrofolate transport diffusion mitochondrial,thf[c] <=> thf[m],3.571468296031658
ACCOACr,acetyl CoA carboxylase reversible reaction,accoa[c] + atp[c] + hco3[c] <=> adp[c] + h[c] + malcoa[c] + pi[c],3.5010988582039175
DHAD1m,dihydroxy acid dehydratase 2 3 dihydroxy 3 methylbutanoate mitochondrial,23dhmb[m] --> 3mob[m] + h2o[m],3.289983976102387
KARA1im,acetohydroxy acid isomeroreductase mitochondrial,alac_S[m] + h[m] + nadph[m] --> 23dhmb[m] + nadp[m],3.289983976102387
ACLSm,acetolactate synthase mitochondrial,h[m] + 2.0 pyr[m] --> alac_S[m] + co2[m],3.2899839761023864
IPPMIa,3 isopropylmalate dehydratase,3c2hmp[c] <=> 2ippm[c] + h2o[c],-2.907890284767853
3C3HMPtm,2 Isopropylmalate transport diffusion mitochondrial,3c3hmp[c] <=> 3c3hmp[m],-2.9078902847678525
OMCDC,2 Oxo 4 methyl 3 carboxypentanoate decarboxylation,3c4mop[c] + h[c] --> 4mop[c] + co2[c],2.9078902847678525
IPPMIb,2 isopropylmalate hydratase,2ippm[c] + h2o[c] <=> 3c3hmp[c],-2.9078902847678525
IPMD,3 isopropylmalate dehydrogenase,3c2hmp[c] + nad[c] --> 3c4mop[c] + h[c] + nadh[c],2.9078902847678525
IPPSm,2 isopropylmalate synthase mitochondrial,3mob[m] + accoa[m] + h2o[m] --> 3c3hmp[m] + coa[m] + h[m],2.9078902847678525
MCCC,3-methylcrotonyl-coa carboxylase,3mb2coa[c] + atp[c] + hco3[c] --> 3mgcoa[c] + adp[c] + h[c] + pi[c],2.4776370114123143
LEUDH,2-Oxoisovalerate dehydrogenase,4mop[c] + coa[c] + nad[c] --> co2[c] + ivcoa[c] + nadh[c],2.4776370114123143
MGCH,Methylglutaconyl-coa hydratase,3mgcoa[c] + h2o[c] --> hmgcoa[c],2.477637011412314
MBCOAi,isovaleryl-coa dehydrogenase,ivcoa[c] + nad[c] --> 3mb2coa[c] + h[c] + nadh[c],2.477637011412314
ICDHy,isocitrate dehydrogenase NADP ,icit[c] + nadp[c] --> akg[c] + co2[c] + nadph[c],2.4209885367605777
ACONT,aconitase,cit[c] <=> icit[c],2.4209885367605772
PGI,glucose 6 phosphate isomerase,g6p[c] <=> f6p[c],-2.2958992789366195
GHMT2r,glycine hydroxymethyltransferase reversible,ser_L[c] + thf[c] <=> gly[c] + h2o[c] + mlthf[c],-2.279551146593745
biomass_C,biomass yarrowia carbon limiting,0.943396927 13BDglcn[c] + 0.567938715 ala_L[c] + 0.055401294 amp[c] + 0.125562993 arg_L[c] + 0.186498253 asn_L[c] + 0.186531036 asp_L[c] + 23.09 atp[c] + 0.868358429 chitin[c] + 0.057210293 cmp[c] + 0.003631558 cys_L[c] + 0.010069587 damp[c] + 0.010436325 dcmp[c] + 0.009226307 dgmp[c] + 0.010353045 dtmp[c] + 0.035250723 ergst[c] + 0.24386559 gln_L[c] + 0.243904342 glu_L[c] + 0.509942819 gly[c] + 0.050870974 gmp[c] + 23.09 h2o[c] + 0.053881088 his_L[c] + 0.090566203 ile_L[c] + 0.194549622 leu_L[c] + 0.275004895 lys_L[c] + 0.235849232 mannan[c] + 0.04423181 met_L[c] + 5.8e-05 pa_SC[c] + 0.000346485 pc_SC[c] + 0.000236765 pe_SC[c] + 0.082570645 phe_L[c] + 0.206371817 pro_L[c] + 3.5e-05 ps_SC[c] + 7.5e-05 ptd1ino_SC[c] + 0.284698809 ser_L[c] + 0.02 so4[c] + 0.210543282 thr_L[c] + 0.006859892 tre[c] + 0.000234034 triglyc_SC[c] + 0.002154449 trp_L[c] + 0.04128234 tyr_L[c] + 0.059363404 ump[c] + 0.17277308 val_L[c] + 0.003029289 zymst[c] --> 23.09 adp[c] + biomass[c] + 23.09 h[c] + 23.09 pi[c],2.211534871836134
EX_biom,EX_biom,biomass[c] --> ,2.211534871836134
GALU,UTP glucose 1 phosphate uridylyltransferase,g1p[c] + h[c] + utp[c] <=> ppi[c] + udpg[c],2.101526092418578
PGMT,phosphoglucomutase,g1p[c] <=> g6p[c],-2.101526092418577
13GS,1 3 beta glucan synthase,udpg[c] --> 13BDglcn[c] + h[c] + udp[c],2.086355202043548
NH4tm,NH3 mitochondrial transport,nh4[c] <=> nh4[m],-1.997472524183714
ACACT1,acetyl CoA C acetyltransferase,2.0 accoa[c] <=> aacoa[c] + coa[c],-1.969691522818479
HMGCOAS,Hydroxymethylglutaryl CoA synthase,coa[c] + h[c] + hmgcoa[c] <=> aacoa[c] + accoa[c] + h2o[c],1.9696915228184786
UDPACGLP,UDP N acetylglucosamine diphosphorylase,acgam1p[c] + h[c] + utp[c] <=> ppi[c] + udpacgal[c],1.9204049469863416
CHTNS,chitin synthase,udpacgal[c] --> chitin[c] + h[c] + udp[c],1.9204049469863416
ACGAM6PS,N acetylglucosamine 6 phosphate synthase,accoa[c] + gam6p[c] <=> acgam6p[c] + coa[c] + h[c],1.9204049469863416
ACGAMPM,phosphoacetylglucosamine mutase,acgam6p[c] <=> acgam1p[c],1.9204049469863416
GF6PTA,glutamine fructose 6 phosphate transaminase,f6p[c] + gln_L[c] --> gam6p[c] + glu_L[c],1.9204049469863416
GLYCLm,glycine cleavage system mitochondrial,gly[m] + nad[m] + thf[m] --> co2[m] + mlthf[m] + nadh[m] + nh4[m],1.7971822080394237
SERt2m,serine mitochondrial transport via proton symport,h[c] + ser_L[c] <=> h[m] + ser_L[m],1.7971822080394237
GHMT2rm,glycine hydroxymethyltransferase reversible mitochondrial,ser_L[m] + thf[m] <=> gly[m] + h2o[m] + mlthf[m],1.7971822080394235
FUM,fumarase,fum[c] + h2o[c] <=> mal_L[c],1.0310393629836858
MDHm,malate dehydrogenase mitochondrial,mal_L[m] + nad[m] <=> h[m] + nadh[m] + oaa[m],1.0310393629836745
EX_pi(e),Phosphate exchange,pi[e] <=> ,-0.9593261539061415
PIt2r,phosphate reversible transport via symport,h[e] + pi[e] <=> h[c] + pi[c],0.9593261539061415
NDPK1,nucleoside diphosphate kinase ATPGDP ,atp[c] + gdp[c] --> adp[c] + gtp[c],0.8913913499450236
MTHFD,methylenetetrahydrofolate dehydrogenase NADP ,mlthf[c] + nadp[c] <=> methf[c] + nadph[c],0.8862596579861045
MTHFC,methenyltetrahydrofolate cyclohydrolase,h2o[c] + methf[c] <=> 10fthf[c] + h[c],0.8862596579861045
