pathway,compartment,Equation,reaction_ids,13C_mfa_flux,StdErr,13C_mfa_flux_95%_lower_bound,13C_mfa_flux_95%_upper_bound,pFBA Flux
substrate_uptake,cytosol,Glucose + ATP -> G6P,reverse_EX_glc(e),100.0,0.1,99.804,100.196,100.0
emp,cytosol,G6P <-> F6P,PGI,26.3569,1.7406,20.8287,29.7882,35.574484607636144
emp,cytosol,F6P + ATP <-> FBP,PFK or reverse_FBP,65.3062,0.6654,63.4425,67.9137,38.62937895612987
emp,cytosol,FBP <-> DHAP + GAP,FBA,65.3062,0.6654,63.4425,67.9137,38.62937895612986
emp,cytosol,DHAP <-> GAP,TPI,65.2977,0.6641,63.4347,67.9034,54.58342631160709
emp,cytosol,GAP <-> G3P + ATP + NADH,GAPD,149.2144,0.9235,147.3067,155.5588,125.95528922666247
emp,cytosol,G3P <-> PEP,ENO,147.3693,0.9699,143.5083,154.1212,116.25421532245036
emp,cytosol,PEP <-> PYRcyt + ATP,PYK,140.1666,1.1072,136.2425,763.1491,113.38170797856331
pentose_phosphate,cytosol,G6P -> PG6 + NADPH,G6PDH2,66.5493,1.7228,60.2717,72.0662,52.592538289312245
pentose_phosphate,cytosol,PG6 -> P5P + CO2 + NADPH,GND,66.5493,1.7228,60.2717,72.0662,53.430653825769056
pentose_phosphate,cytosol,P5P + P5P <-> S7P + GAP,TKT1,21.8067,0.5737,19.7105,23.645,17.077090431576362
pentose_phosphate,cytosol,S7P + GAP <-> E4P + F6P,TALA,21.8067,0.5737,19.7105,23.645,0.0
pentose_phosphate,cytosol,E4P + P5P <-> F6P + GAP,TKT2,18.2053,0.5757,17.01,20.1817,15.640836759632846
glycerol_formation,cytosol,DHAP + NADH <-> GLYC,G3PD1ir,0.0084,0.1005,-3.56e-14,0.2044,1.1230430760991426
transport,extracellular,GLYC -> GLYC_EX,reverse_GLYCt,0.0084,0.1005,0.0,0.2044,0.0
transport,mitochondria,PYRcyt -> PYRmit,PYRt2m,117.1848,66.8795,18.7209,131.0564,84.70132818543176
tca_cycle,mitochondria,PYRmit -> ACCOAmit + CO2 + NADH,PDHm,98.551,76.2143,3.388,117.9897,49.392433222897324
tca_cycle,mitochondria,ACCOAmit + OAAmit -> CITmit,CSm,70.3493,2.6442,56.7066,95.5216,31.634429463869193
tca_cycle,mitochondria,CITmit <-> ICTmit,ACONTm,70.3493,2.6442,56.7066,95.5216,19.71978538399567
transport,mitochondria,ICTmit -> ICTcyt,CITtcm,4.3244,11.2551,0.0,22.3358,0.0
tca_cycle,mitochondria,ICTmit -> AKG + CO2 + NADH,ICDHxm,66.025,13.3258,18.4171,95.0629,0.0
tca_cycle,mitochondria,ICTmit -> AKG + CO2 + NADPH,ICDHym,1e-07,1.27e-11,0.0,51.4668,19.71978538399567
tca_cycle,mitochondria,SUCmit <-> FUMmit + UQH2,SUCD2_u6m and SUCD1m,58.3403,2.921,53.255,87.0554,0.0
tca_cycle,mitochondria,0.5*FUMmit + 0.5*FUMmit <-> 0.5*MALmit + 0.5*MALmit,FUMm,59.597,2.892,54.5219,86.8212,19.156747108610652
tca_cycle,mitochondria,MALmit <-> OAAmit + NADH,MDHm,77.1081,8.0109,36.9987,101.0709,23.379575320778745
anaplerotic,mitochondria,MALmit <-> PYRmit + CO2 + NADH,ME1m,25.7706,10.3973,12.5302,71.6466,0.0
anaplerotic,mitochondria,MALmit <-> PYRmit + CO2 + NADPH,ME2m,-40.2926,4.6935,-94.4954,-27.5824,0.0
anaplerotic,cytosol,PYRcyt + CO2 + ATP -> OAAcyt,PC,11.7278,1.9284,1.2458,61.3845,22.23147671039464
anaplerotic,cytosol,OAAcyt + ATP -> PEP + CO2,PPCK,2.13e-06,6.58e-11,0.0,615.3569,0.0
