pathway,compartment,Equation,reaction_ids,13C_mfa_flux,StdErr,13C_mfa_flux_95%_lower_bound,13C_mfa_flux_95%_upper_bound,pFBA Flux
substrate_uptake,cytosol,Oleic Acid -> 9 AC,OCDCEAt,100.0,6.54e-11,100.0,100.0,100.0
emp,cytosol,G6P <-> F6P,PGI,-192.3834,14.4521,-259.4513,0.0,-30.701310723547838
emp,cytosol,F6P + ATP <-> FBP,PFK or reverse_FBP,-75.9087,5.7024,-98.0416,-6.976,-69.43725876945035
emp,cytosol,FBP <-> DHAP + GAP,FBA,-75.9087,5.7024,-98.0416,-6.976,-69.43725876945034
emp,cytosol,DHAP <-> GAP,TPI,-75.9087,5.7024,-337.7775,-13.5021,-72.35105587519789
emp,cytosol,GAP <-> G3P + ATP + NADH,GAPD,-100.7287,7.5669,-244.3168,-41.9351,-146.6283340636703
emp,cytosol,G3P <-> PEP,ENO,-128.98,9.6892,-342.6249,-42.6334,-146.6283340636703
emp,cytosol,PEP <-> PYRcyt + ATP,PYK,33.7221,252.5395,,1580.0,0.0
pentose_phosphate,cytosol,G6P -> PG6 + NADPH,G6PDH2,192.3834,14.4521,0.0,259.4513,0.0
pentose_phosphate,cytosol,PG6 -> P5P + CO2 + NADPH,GND,192.3834,14.4521,0.0,259.4513,2.1745369134837276
pentose_phosphate,cytosol,P5P + P5P <-> S7P + GAP,TKT1,67.4448,5.0665,7.5832,89.7892,-1.1772940603316084
pentose_phosphate,cytosol,S7P + GAP <-> E4P + F6P,TALA,67.4448,5.0665,7.5832,89.7892,-1.1772940603316084
pentose_phosphate,cytosol,E4P + P5P <-> F6P + GAP,TKT2,49.0299,3.6832,-19.0583,70.8859,-4.903733305177519
glycerol_formation,cytosol,DHAP + NADH <-> GLYC,G3PD1ir,1.21e-06,4.91e-10,1.18e-14,107.6432,2.9137971057462444
transport,extracellular,GLYC -> GLYC_EX,reverse_GLYCt,1.21e-06,4.91e-10,0.0,107.6432,0.0
transport,mitochondria,PYRcyt -> PYRmit,PYRt2m,1.82e-06,2.62e-10,0.0,192.5497,11.26289932063015
