pathway,compartment,13C_mfa_reaction,reaction_ids,13C_mfa_flux,13C_mfa_flux_95%_lower_bound,13C_mfa_flux_95%_upper_bound,Forward Flux,Backward Flux,Stdev,pFBA Flux
substrate_uptake,cytosol,Glucose(substrate) + ATP == G6P,GLCt1,0.0,,,[],[],,0.0
substrate_uptake,cytosol,Glycerol(substrate) == GLYC,reverse_GLYCt,0.0,,,[],[],,0.0
substrate_uptake,cytosol,Acetate(substrate) == AC,ACt2r,100.0,,,[],[],,100.0
substrate_uptake,cytosol,oleic_acid(substrate) == AC,OCDCEAt,0.0,,,[],[],,0.0
emp,cytosol,G6P == F6P,PGI,-8.6,,,7.7935,16.3725,,-2.35617494906599
emp,cytosol,F6P + ATP == FBP,PFK or reverse_FBP,-7.3,,,8.67E+03,8.68E+03,,-5.328968887276477
emp,cytosol,FBP == DHAP + GAP,FBA,-7.3,,,28.0246,35.3659,,-5.328968887276476
emp,cytosol,DHAP == GAP,TPI,-7.3,,,0,7.3413,,-5.552588517364705
emp,cytosol,GAP == G3P + ATP + NADH,GAPD,-14.5,,,37.457,51.9554,,-11.253005145448775
emp,cytosol,G3P == PEP,ENO,-18.7,,,123.4138,142.1444,,-11.253005145448775
emp,cytosol,PEP == PYRcyt + ATP,PYK,-0.2,,,16.6997,16.8837,,0.0
pentose_phosphate,cytosol,G6P == PG6 + NADPH,G6PDH2,5.7,,,[],[],,0.0
transport,extracellular,GLYC == GLYC_EX,EX_glyc(e),0.0,,,[],[],,0.0
transport,mitochondria,PYRcyt == PYRmit,PYRt2m,0.0,,,[],[],,1.8728966907191038
tca_cycle,mitochondria,PYRmit == ACCOAmit + CO2 + NADH,PDHm,0.0,,,[],[],,0.0
tca_cycle,mitochondria,ACCOAmit + OAAmit == CITmit,CSm,48.6,,,[],[],,91.30624923560633
tca_cycle,mitochondria,CITmit == ICTmit,ACONTm,9.0,,,28.6862,19.6458,,1.3476971279184737
transport,mitochondria,ICTmit == ICTcyt,CITtcm,1.0,,,[],[],,0.0
tca_cycle,mitochondria,ICTmit == AKG + CO2 + NADH,ICDHxm,0.0,,,[],[],,0.0
tca_cycle,mitochondria,ICTmit == AKG + CO2 + NADPH,ICDHym,8.1,,,[],[],,1.3476971279184737
tca_cycle,mitochondria,SUCmit == FUMmit + UQH2,SUCD2_u6m and SUCD1m,43.0,,,57.6492,14.6,,0.0
tca_cycle,mitochondria,FUMmit == MALmit,FUMm,44.5,,,46.7823,2.2704,,88.82170098271726
tca_cycle,mitochondria,MALmit == OAAmit + NADH,MDHm,36.7,,,36.6723,0,,77.93003978677537
anaplerotic,mitochondria,MALmit == PYRmit + CO2 + NADH,ME1m,7.8,,,[],[],,0.0
anaplerotic,mitochondria,MALmit == PYRmit + CO2 + NADPH,ME2m,0.0,,,[],[],,0.0
anaplerotic,cytosol,PYRcyt + CO2 + ATP == OAAcyt,PC,0.0,,,[],[],,16.251694641365773
anaplerotic,cytosol,OAAcyt + ATP == PEP + CO2,PPCK,21.8,,,[],[],,11.824976998832087
acetate_metabolism ,cytosol,PYRcyt == AA + CO2,PYRDC,0.0,,,[],[],,0.0
acetate_metabolism ,cytosol,AA + NADH == ETOH,reverse_ALCD2x,0.0,,,[],[],,0.0
acetate_metabolism ,cytosol,AA == AC + NADH,ALDD2y,0.0,,,[],[],,0.0
acetate_metabolism ,cytosol,AC + ATP == ACCOAcyt,ACS or reverse_ACOAH,100.0,,,678.723,577.9661,,7.736682358219845
transport,extracellular,ETOH == ETOH_EX,rETOHt or reverse_ETOHt,0.0,,,[],[],,0.0
transport,extracellular,AC == AC_EX,reverse_ACt2r,0.0,,,[],[],,-100.0
transport,mitochondria,OAAmit == OAAcyt,reverse_OAAt2m,-11.9,,,28.2216,40.1017,,-13.37620944883097
glyoxylate_shunt,cytosol,ICTcyt == GLYOXYcyt + SUCcyt,ICL,40.5,,,[],[],,42.90413108709579
transport,mitochondria,SUCcyt == SUCmit,SUCCtm,40.5,,,[],[],,0.0
tca_cycle,cytosol,MALcyt == OAAcyt + NADH,MDH,40.5,,,1.41E+03,1.37E+03,,11.73250809026691
transport,mitochondria,MALcyt == MALmit,MALtm or reverse_CITtam or reverse_DICtm,0.0,,,[],[],,-10.891661195941907
transport,extracellular,CO2 == CO2_EX,reverse_CO2t,54.0,,,[],[],,113.96169655292016
biomass_formation,cytosol,0.459*ALA+0.161*ARG+0.102*ASN+0.42*ASP+0.007*CYS+0.105*GLN+0.302*GLU+0.398*GLY+0.066*HIS+0.193*ILE+0.296*LEU+0.286*LYS+0.051*MET+0.134*PHE+0.165*PRO+0.185*SER+0.191*THR+0.028*TRP+0.102*TYR+0.265*VAL+1.7*G6P+0.808*F6P+0.4623*ACCOAcyt+0.231*P5P+0.216*MTHF == Biomass,biomass_C,5.1,,,[],[],,2.2695956707733314
energy_metabolism,extracellular,ATP == ATP_EX,ATPM,109.5,,,[],[],,0.0
