pathway,compartment,13C_mfa_reaction,reaction_ids,13C_mfa_flux,13C_mfa_flux_95%_lower_bound,13C_mfa_flux_95%_upper_bound,Forward Flux,Backward Flux,Stdev,pFBA Flux
substrate_uptake,cytosol,Glucose(substrate) + ATP == G6P,GLCt1,100.0,100.0,100.0,[],[],0.0,99.99999999999999
substrate_uptake,cytosol,Glycerol(substrate) == GLYC,reverse_GLYCt,0.0,0.0,1.2414,[],[],0.3167,0.0
substrate_uptake,cytosol,Acetate(substrate) == AC,ACt2r,0.0678,0.0,0.7662,[],[],0.1955,0.0
substrate_uptake,cytosol,oleic_acid(substrate) == AC,OCDCEAt,0.0,0.0,0.0,[],[],0.0,0.0
emp,cytosol,G6P == F6P,PGI,72.686,58.4274,78.3064,72.686,0,5.0712,35.574484607636144
emp,cytosol,F6P + ATP == FBP,PFK or reverse_FBP,80.4599,71.9969,81.0889,149.0655,68.6056,2.3194,38.62937895612987
emp,cytosol,FBP == DHAP + GAP,FBA,80.4599,71.9969,81.0889,162.3111,81.8512,2.3194,38.62937895612986
emp,cytosol,DHAP == GAP,TPI,-19.5394,-25.9334,-18.2523,7.6658,27.2052,1.9595,54.58342631160709
emp,cytosol,GAP == G3P + ATP + NADH,GAPD,66.2012,54.6225,66.7364,380.1085,313.9073,3.0903,125.95528922666247
emp,cytosol,G3P == PEP,ENO,65.6276,53.6544,66.0194,1469.4,1403.8,3.1543,116.25421532245036
emp,cytosol,PEP == PYRcyt + ATP,PYK,63.1745,50.4924,99.9998,74.707,11.5325,12.6294,113.38170797856331
pentose_phosphate,cytosol,G6P == PG6 + NADPH,G6PDH2,19.4154,12.749,30.4904,[],[],4.5259,52.592538289312245
transport,extracellular,GLYC == GLYC_EX,EX_glyc(e),99.9993,95.6147,100.0,[],[],1.1187,0.0
transport,mitochondria,PYRcyt == PYRmit,PYRt2m,17.3751,1.5548,38.8886,[],[],9.5239,84.70132818543176
tca_cycle,mitochondria,PYRmit == ACCOAmit + CO2 + NADH,PDHm,17.5481,0.0003,43.5942,[],[],11.1209,49.392433222897324
tca_cycle,mitochondria,ACCOAmit + OAAmit == CITmit,CSm,16.1721,8.5503,27.3655,[],[],4.7998,31.634429463869193
tca_cycle,mitochondria,CITmit == ICTmit,ACONTm,16.1721,8.5503,27.3655,115.0979,98.9258,4.7998,19.71978538399567
transport,mitochondria,ICTmit == ICTcyt,CITtcm,0.0014,0.0,19.3593,[],[],4.9386,0.0
tca_cycle,mitochondria,ICTmit == AKG + CO2 + NADH,ICDHxm,6.053,2.1796,11.9052,16,[],2.481,0.0
tca_cycle,mitochondria,ICTmit == AKG + CO2 + NADPH,ICDHym,10.1176,2.6044,11.0033,[],[],2.1426,19.71978538399567
tca_cycle,mitochondria,SUCmit == FUMmit + UQH2,SUCD2_u6m and SUCD1m,19.5119,11.8938,25.5733,194.0109,174.499,3.4897,0.0
tca_cycle,mitochondria,FUMmit == MALmit,FUMm,20.5666,13.3259,26.7956,138.7643,118.1977,3.4361,19.156747108610652
tca_cycle,mitochondria,MALmit == OAAmit + NADH,MDHm,14.6563,4.4191,31.2732,248.4347,233.7784,6.8505,23.379575320778745
anaplerotic,mitochondria,MALmit == PYRmit + CO2 + NADH,ME1m,2.9201,0.6028,10.1737,[],[],2.4416,0.0
anaplerotic,mitochondria,MALmit == PYRmit + CO2 + NADPH,ME2m,2.9964,0.7028,8.6404,[],[],2.0249,0.0
