pathway,compartment,13C_mfa_reaction,reaction_ids,13C_mfa_flux,13C_mfa_flux_95%_lower_bound,13C_mfa_flux_95%_upper_bound,Forward Flux,Backward Flux,Stdev,Glycerol 1 Flux,Glycerol 2 Flux,Glycerol 3 Flux
substrate_uptake,cytosol,Glucose(substrate) + ATP == G6P,GLCt1,0,,,[],[],,0.0,0.0,0.0
substrate_uptake,cytosol,Glycerol(substrate) == GLYC,reverse_GLYCt,100,,,[],[],,100.0,100.0,100.0
substrate_uptake,cytosol,Acetate(substrate) == AC,ACt2r,0,,,[],[],,0.0,0.0,0.0
substrate_uptake,cytosol,oleic_acid(substrate) == AC,OCDCEAt,0,,,[],[],,0.0,0.0,0.0
emp,cytosol,G6P == F6P,PGI,6,,,420.0208,426.1404,,-2.283861220996917,-2.2958992789366195,-2.283861220996917
emp,cytosol,F6P + ATP == FBP,PFK or reverse_FBP,9,,,0,8.679,,-32.31696390752664,-32.931868457057305,-32.31696390752664
emp,cytosol,FBP == DHAP + GAP,FBA,9,,,14.8765,23.5555,,-32.31696390752664,-32.9318684570573,-32.31696390752664
emp,cytosol,DHAP == GAP,TPI,90,,,398.4248,307.9967,,67.46627960687597,66.85023255047649,67.46627960687597
emp,cytosol,GAP == G3P + ATP + NADH,GAPD,80,,,79.8354,0.01,,61.83551884541647,61.189792479404225,61.83551884541647
emp,cytosol,G3P == PEP,ENO,74,,,1.00E+06,999900,,21.139390747393747,19.390029595056326,21.139390747393747
emp,cytosol,PEP == PYRcyt + ATP,PYK,70,,,1.00E+06,999900,,20.584973370211415,18.832689926253096,20.584973370211415
pentose_phosphate,cytosol,G6P == PG6 + NADPH,G6PDH2,2,,,[],[],,0.0,0.0,0.0
transport,extracellular,GLYC == GLYC_EX,EX_glyc(e),0,,,[],[],,-100.0,-100.0,-100.0
transport,mitochondria,PYRcyt == PYRmit,PYRt2m,56,,,[],[],,29.94783069088347,29.953278314739933,29.94783069088347
tca_cycle,mitochondria,PYRmit == ACCOAmit + CO2 + NADH,PDHm,44,,,[],[],,26.011932675281788,23.17302004639087,26.011932675281788
tca_cycle,mitochondria,ACCOAmit + OAAmit == CITmit,CSm,24,,,[],[],,23.918699962502963,23.447804196330363,23.918699962502963
tca_cycle,mitochondria,CITmit == ICTmit,ACONTm,24,,,314.5715,290.625,,0.23794445604387884,0.0,0.23794445604387884
transport,mitochondria,ICTmit == ICTcyt,CITtcm,3,,,[],[],,0.0,0.0,0.0
tca_cycle,mitochondria,ICTmit == AKG + CO2 + NADH,ICDHxm,0,,,,[],,0.0,0.0,0.0
tca_cycle,mitochondria,ICTmit == AKG + CO2 + NADPH,ICDHym,21,,,[],[],,0.23794445604387884,0.0,0.23794445604387884
tca_cycle,mitochondria,SUCmit == FUMmit + UQH2,SUCD2_u6m and SUCD1m,16,,,730.3721,714.3322,,0.0,0.0,0.0
tca_cycle,mitochondria,FUMmit == MALmit,FUMm,18,,,1.00E+06,999900,,0.0,0.0,0.0
tca_cycle,mitochondria,MALmit == OAAmit + NADH,MDHm,18,,,1.00E+06,999900,,1.0256333281012415,1.0310393629836745,1.0256333281012415
anaplerotic,mitochondria,MALmit == PYRmit + CO2 + NADH,ME1m,0,,,,[],,0.0,0.0,0.0
anaplerotic,mitochondria,MALmit == PYRmit + CO2 + NADPH,ME2m,0,,,[],[],,0.0,0.0,0.0
anaplerotic,cytosol,PYRcyt + CO2 + ATP == OAAcyt,PC,18,,,[],[],,30.01447605550229,29.131146356446006,30.01447605550229
anaplerotic,cytosol,OAAcyt + ATP == PEP + CO2,PPCK,0,,,[],[],,0.0,0.0,0.0
acetate_metabolism ,cytosol,PYRcyt == AA + CO2,PYRDC,0,,,[],[],,0.0,0.0,0.0
acetate_metabolism ,cytosol,AA + NADH == ETOH,reverse_ALCD2x,2,,,[],[],,2.1286316346213185,3.7908573499254827,2.1286316346213185
acetate_metabolism ,cytosol,AA == AC + NADH,ALDD2y,0,,,,[],,2.0845824884466184,0.0,2.0845824884466184
acetate_metabolism ,cytosol,AC + ATP == ACCOAcyt,ACS or reverse_ACOAH,1,,,135.2017,134.0824,,4.318510620692325,0.10585150741552582,4.318510620692325
transport,extracellular,ETOH == ETOH_EX,rETOHt or reverse_ETOHt,2,,,[],[],,0.0,0.0,0.0
transport,extracellular,AC == AC_EX,reverse_ACt2r,0,,,[],[],,0.0,0.0,0.0
transport,mitochondria,OAAmit == OAAcyt,reverse_OAAt2m,7,,,111.6402,118.1634,,-22.89306663440172,-22.41676483334669,-22.89306663440172
glyoxylate_shunt,cytosol,ICTcyt == GLYOXYcyt + SUCcyt,ICL,4,,,[],[],,0.0,0.0,0.0
transport,mitochondria,SUCcyt == SUCmit,SUCCtm,4,,,[],[],,0.0,0.0,0.0
tca_cycle,cytosol,MALcyt == OAAcyt + NADH,MDH,0,,,0,0,,0.0,0.0,0.0
