pathway,compartment,13C_mfa_reaction,reaction_ids,13C_mfa_flux,13C_mfa_flux_95%_lower_bound,13C_mfa_flux_95%_upper_bound,Forward Flux,Backward Flux,Stdev,pFBA Flux
substrate_uptake,cytosol,Glucose(substrate) + ATP == G6P,GLCt1,0.0,,,[],[],,0.0
substrate_uptake,cytosol,Glycerol(substrate) == GLYC,reverse_GLYCt,0.0,,,[],[],,0.0
substrate_uptake,cytosol,Acetate(substrate) == AC,ACt2r,0.0,,,[],[],,0.0
substrate_uptake,cytosol,oleic_acid(substrate) == AC,OCDCEAt,100.0,,,[],[],,100.0
emp,cytosol,G6P == F6P,PGI,-77.4,,,70.1415,147.3525,,-30.701310723547838
emp,cytosol,F6P + ATP == FBP,PFK or reverse_FBP,-65.7,,,7.80E+04,7.81E+04,,-69.43725876945035
emp,cytosol,FBP == DHAP + GAP,FBA,-65.7,,,252.2214,318.2931,,-69.43725876945034
emp,cytosol,DHAP == GAP,TPI,-65.7,,,0,66.0717,,-72.35105587519789
emp,cytosol,GAP == G3P + ATP + NADH,GAPD,-130.5,,,337.113,467.5986,,-146.6283340636703
emp,cytosol,G3P == PEP,ENO,-168.3,,,1110.7242,1279.2996,,-146.6283340636703
emp,cytosol,PEP == PYRcyt + ATP,PYK,-1.8,,,150.2973,151.9533,,0.0
pentose_phosphate,cytosol,G6P == PG6 + NADPH,G6PDH2,51.3,,,[],[],,0.0
transport,extracellular,GLYC == GLYC_EX,EX_glyc(e),0.0,,,[],[],,0.0
transport,mitochondria,PYRcyt == PYRmit,PYRt2m,0.0,,,[],[],,11.26289932063015
tca_cycle,mitochondria,PYRmit == ACCOAmit + CO2 + NADH,PDHm,0.0,,,[],[],,0.0
tca_cycle,mitochondria,ACCOAmit + OAAmit == CITmit,CSm,437.4,,,[],[],,260.2595406854938
tca_cycle,mitochondria,CITmit == ICTmit,ACONTm,81.0,,,258.1758,176.8122,,4.419470746759414
transport,mitochondria,ICTmit == ICTcyt,CITtcm,9.0,,,[],[],,0.0
tca_cycle,mitochondria,ICTmit == AKG + CO2 + NADH,ICDHxm,0.0,,,[],[],,0.0
tca_cycle,mitochondria,ICTmit == AKG + CO2 + NADPH,ICDHym,72.9,,,[],[],,4.419470746759414
tca_cycle,mitochondria,SUCmit == FUMmit + UQH2,SUCD2_u6m and SUCD1m,387.0,,,518.8428,131.4,,0.0
tca_cycle,mitochondria,FUMmit == MALmit,FUMm,400.5,,,421.0407,20.4336,,754.344784802119
tca_cycle,mitochondria,MALmit == OAAmit + NADH,MDHm,330.3,,,330.0507,0,,242.6988462643105
anaplerotic,mitochondria,MALmit == PYRmit + CO2 + NADH,ME1m,70.2,,,[],[],,0.0
anaplerotic,mitochondria,MALmit == PYRmit + CO2 + NADPH,ME2m,0.0,,,[],[],,13.141223674423902
anaplerotic,cytosol,PYRcyt + CO2 + ATP == OAAcyt,PC,0.0,,,[],[],,224.90322681709017
anaplerotic,cytosol,OAAcyt + ATP == PEP + CO2,PPCK,196.2,,,[],[],,154.08121255336215
acetate_metabolism ,cytosol,PYRcyt == AA + CO2,PYRDC,0.0,,,[],[],,0.0
acetate_metabolism ,cytosol,AA + NADH == ETOH,reverse_ALCD2x,0.0,,,[],[],,0.0
acetate_metabolism ,cytosol,AA == AC + NADH,ALDD2y,0.0,,,[],[],,0.0
acetate_metabolism ,cytosol,AC + ATP == ACCOAcyt,ACS or reverse_ACOAH,900.0,,,6108.507,5201.6949,,1.4154715102420212
transport,extracellular,ETOH == ETOH_EX,rETOHt or reverse_ETOHt,0.0,,,[],[],,0.0
transport,extracellular,AC == AC_EX,reverse_ACt2r,0.0,,,[],[],,0.0
transport,mitochondria,OAAmit == OAAcyt,reverse_OAAt2m,-107.1,,,253.9944,360.9153,,-17.56069442118339
glyoxylate_shunt,cytosol,ICTcyt == GLYOXYcyt + SUCcyt,ICL,364.5,,,[],[],,559.0472220031422
transport,mitochondria,SUCcyt == SUCmit,SUCCtm,364.5,,,[],[],,0.0
tca_cycle,cytosol,MALcyt == OAAcyt + NADH,MDH,364.5,,,1.27E+04,1.23E+04,,1289.4031520057033
transport,mitochondria,MALcyt == MALmit,MALtm or reverse_CITtam or reverse_DICtm,0.0,,,[],[],,-498.50471486338466
transport,extracellular,CO2 == CO2_EX,reverse_CO2t,486.0,,,[],[],,678.9074576901639
biomass_formation,cytosol,0.459*ALA+0.161*ARG+0.102*ASN+0.42*ASP+0.007*CYS+0.105*GLN+0.302*GLU+0.398*GLY+0.066*HIS+0.193*ILE+0.296*LEU+0.286*LYS+0.051*MET+0.134*PHE+0.165*PRO+0.185*SER+0.191*THR+0.028*TRP+0.102*TYR+0.265*VAL+1.7*G6P+0.808*F6P+0.4623*ACCOAcyt+0.231*P5P+0.216*MTHF == Biomass,biomass_C,45.9,,,[],[],,29.573169824614524
energy_metabolism,extracellular,ATP == ATP_EX,ATPM,985.5,,,[],[],,0.0
