reaction_id,reaction_name,full_reaction,flux,trans_LB,trans_UB,95_LB,95_UB,10_LB,10_UB
H2Otm,H2O transport mitochondrial,h2o[c] <=> h2o[m],-666.9595593942045,-inf,inf,-3407.148338436788,-521.2762770608521,-4252.118928369825,413.53670032138683
ATPS3m,ATP synthase mitochondrial,adp[m] + 3.0 h[c] + pi[m] --> atp[m] + h2o[m] + 2.0 h[m],366.5661715631979,0.0,1253.456606422833,305.8878487741193,524.0264463238678,0.0,1253.456606422833
PIt2m,phosphate transporter mitochondrial,h[c] + pi[c] <=> h[m] + pi[m],365.26131328301915,-384.86043648179117,384.86043648179117,2.760196130747066,384.86043648179117,-384.86043648179117,384.86043648179117
ATPtm_H,ADPATP transporter mitochondrial,adp[c] + atp[m] + h[c] --> adp[m] + atp[c] + h[m],365.26131328301915,0.0,50797.153932418485,305.8140347922395,521.4347474377075,0.0,1267.414685518267
EX_h2o_e,H2O exchange,h2o[e] <=> ,320.52219238884175,-119559.00480950331,11955.900480950331,299.9521703573814,394.44776373765876,-21.88331339651446,662.3818941598917
H2Ot,H2O transport via diffusion,h2o[e] <=> h2o[c],-320.52219238884175,-inf,inf,-394.4477637377066,-299.9521703576564,-662.381894160059,21.883313396418814
CYOR_u6m,ubiquinol 6 cytochrome c reductase,2.0 ficytc[m] + 1.5 h[m] + q6h2[m] --> 2.0 focytc[m] + 1.5 h[c] + q6[m],316.63800217653835,0.0,2590.00672118827,264.29274437967933,409.00793419528463,0.0,1116.7376772824646
NADH2_u6cm,NADH dehydrogenase cytosolicmitochondrial,h[c] + nadh[c] + q6[m] --> nad[c] + q6h2[m],281.28943641164204,0.0,23663.835585925754,14.971700076255495,407.6518230923946,0.0,1052.017086289839
GLUDy,glutamate dehydrogenase NADP ,glu_L[c] + h2o[c] + nadp[c] <=> akg[c] + h[c] + nadph[c] + nh4[c],-187.01970151911385,-16531.901831029263,16531.901831029263,-323.00985256940305,114.20793965853497,-835.11025866412,241.6922546879387
CO2t,CO2 transporter via diffusion,co2[e] <=> co2[c],-184.30125176522282,-inf,inf,-225.74411723178184,-172.4388249376936,-560.6046439173032,-0.0
EX_co2(e),CO2 exchange,co2[e] --> ,184.30125176522282,-0.0,11955.900480950331,172.4388249376936,225.74411723153077,0.0,560.6046439190487
O2t,o2 transport diffusion ,o2[e] <=> o2[c],164.25225688904655,-inf,inf,155.40217257820106,210.1405601083802,22.071860338876938,558.9621642220525
EX_o2_e,O2 exchange,o2[e] <=> ,-164.25225688904655,-119559.00480950331,11955.900480950331,-210.14056010789,-155.40217257762717,-558.9621642218015,-22.07186033906823
O2tm,O2 transport diffusion ,o2[c] <=> o2[m],158.31900108826918,-inf,inf,132.14637218952285,204.50396709740917,0.0,558.3688386426192
CYOOm,cytochrome c oxidase mitochondrial,4.0 focytc[m] + 6.0 h[m] + o2[m] --> 4.0 ficytc[m] + 2.0 h2o[m] + 6.0 h[c],158.31900108826918,0.0,5319.538800989231,132.14637218949895,204.50396709797113,0.0,558.368838641854
GLUDxi,glutamate dehydrogenase NAD ,glu_L[c] + h2o[c] + nad[c] --> akg[c] + h[c] + nadh[c] + nh4[c],135.96478632683775,0.0,815.0337357863841,0.0,395.35646916611154,0.0,815.0337357863841
PGL,6 phosphogluconolactonase,6pgl[c] + h2o[c] --> 6pgc[c] + h[c],133.5214411649823,0.0,2757.9871229456226,97.05726050936207,186.74822945134179,0.07641358816083388,361.67379302284775
GND,phosphogluconate dehydrogenase,6pgc[c] + nadp[c] --> co2[c] + nadph[c] + ru5p_D[c],133.5214411649823,0.0,13418.107109770557,97.05726050914687,186.74822945129398,0.07641358820865748,361.6737930222499
G6PDH2,glucose 6 phosphate dehydrogenase,g6p[c] + nadp[c] --> 6pgl[c] + h[c] + nadph[c],132.75730528290768,0.0,4328.872887137686,96.33133142502638,186.0223003609923,0.0,361.59737943382606
HEX1,hexokinase D glucoseATP ,atp[c] + glc_D[c] --> adp[c] + g6p[c] + h[c],100.0,0.0,4296.113719819883,0.0,208.4734060606025,0.0,339.6935572286175
GLCt1,glucose transport uniport ,glc_D[e] --> glc_D[c],100.0,0.0,3678.591459978798,100.0,100.0,100.0,100.0
EX_glc_e,D Glucose exchange,glc_D[e] <=> ,-100.0,-1195.5900480950331,11955.900480950331,-100.0,-100.0,-100.0,-100.0
GAPD,glyceraldehyde 3 phosphate dehydrogenase,g3p[c] + nad[c] + pi[c] <=> 13dpg[c] + h[c] + nadh[c],96.97372904022046,-71661.63497973453,71661.63497973453,76.06707392295283,98.27878698458288,-15.608446353359279,120.46477203943756
