reaction_id,reaction_name,full_reaction,glucose_pfba_flux,glucose_pfba_LB,glucose_pfba_UB,glucose_1_eflux2_flux,glucose_1_trans_LB,glucose_1_trans_UB,glucose_1_eflux2_LB,glucose_1_eflux2_UB,glucose_2_eflux2_flux,glucose_2_trans_LB,glucose_2_trans_UB,glucose_2_eflux2_LB,glucose_2_eflux2_UB,glucose_3_eflux2_flux,glucose_3_trans_LB,glucose_3_trans_UB,glucose_3_eflux2_LB,glucose_3_eflux2_UB
H2Otm,H2O transport mitochondrial,h2o[c] <=> h2o[m],-528.445761701491,-1000.0,-213.206794165389,-605.4159603616505,-inf,inf,-3001.6281600089105,-441.85098231014376,-607.0290939062073,-inf,inf,-4499.544857898091,-457.0400821074138,-606.2613314577269,-inf,inf,-4260.291531638846,-446.5835435917341
EX_h2o_e,H2O exchange,h2o[e] <=> ,311.862285180344,240.399233371799,447.11789855721,292.34083841638216,-101427.59379219999,10142.759379219999,281.0204792857051,392.30409695776376,288.4421349149915,-167369.73931613972,16736.97393161397,283.56396880083787,402.178763199011,289.91519593468047,-165328.41447945096,16532.841447945095,282.0163675128804,398.24921147504875
H2Ot,H2O transport via diffusion,h2o[e] <=> h2o[c],-311.862285180344,-447.117898557292,-240.399233371713,-292.34083841638216,-inf,inf,-392.30409695773335,-281.02047928473144,-288.4421349149915,-inf,inf,-402.1787631987766,-283.5639688015073,-289.91519593468047,-inf,inf,-398.24921147504875,-282.0163675126489
PIt2m,phosphate transporter mitochondrial,h[c] + pi[c] <=> h[m] + pi[m],308.963850307682,-265.358884932284,991.875132250879,326.4954244170917,-326.4954244170917,326.4954244170917,-78.31004371707158,326.4954244170917,333.93639282271306,-637.5113370551762,637.5113370551762,-62.536808773131916,637.5113370551762,333.6300066614589,-577.6574801912016,577.6574801912016,-72.12130972515,577.6574801912016
ATPtm_H,ADPATP transporter mitochondrial,adp[c] + atp[m] + h[c] --> adp[m] + atp[c] + h[m],307.046229431995,189.953281120722,610.722340053466,334.8102930671476,0.0,43093.643202085805,263.84275813596724,529.116654778473,333.93639282271306,0.0,67145.39201884893,268.39600117963676,554.0474479162033,333.6300066614589,0.0,68096.12866945418,261.0825297375436,555.2992841072723
ATPS3m,ATP synthase mitochondrial,adp[m] + 3.0 h[c] + pi[m] --> atp[m] + h2o[m] + 2.0 h[m],299.965664012975,164.365629985357,600.001831231478,336.6326509677879,0.0,1063.3668933174247,267.14284575740504,557.7760563014282,335.1546370017052,0.0,2031.5338958193038,273.36586594854595,556.813963119053,334.85795142192086,0.0,1917.8096079616312,269.3271048114241,558.9388278862878
CYOR_u6m,ubiquinol 6 cytochrome c reductase,2.0 ficytc[m] + 1.5 h[m] + q6h2[m] --> 2.0 focytc[m] + 1.5 h[c] + q6[m],262.235092141694,160.378371783704,424.067654862334,294.14101839277924,0.0,2197.2259643204284,230.89926865699152,424.067654862264,292.4408641328225,0.0,3666.066769980724,236.23313825193443,424.06765492833796,292.13355255120223,0.0,3637.3904469624003,232.51723832528293,424.0676548627613
NADH2_u6cm,NADH dehydrogenase cytosolicmitochondrial,h[c] + nadh[c] + q6[m] --> nad[c] + q6h2[m],183.370297313324,0.0,423.569457259683,253.23450202097143,0.0,20075.157928914978,15.167573792852581,423.5694572601424,254.74105213437397,0.0,33226.742758258006,0.0,423.5694572601805,254.1336400610917,0.0,33283.75107458859,0.0,423.56945726016534
CO2t,CO2 transporter via diffusion,co2[e] <=> co2[c],-171.589402617882,-245.521348983348,-103.31724216589,-189.3036651327709,-inf,inf,-245.52134898250858,-182.47148018234458,-188.88828928856074,-inf,inf,-245.52134898303683,-186.10795972285356,-188.58014719987113,-inf,inf,-245.52134898321094,-183.7875051573691
EX_co2(e),CO2 exchange,co2[e] --> ,171.589402617882,103.317242165786,245.521348983427,189.3036651327709,-0.0,10142.759379219999,182.47148018225332,245.52134898332,188.88828928856074,-0.0,16736.97393161397,186.10795992687727,245.5213492151452,188.58014719987113,-0.0,16532.841447945095,183.78750515735257,245.52134898362425
