reaction_id,reaction_name,full_reaction,glycerol_pfba_flux,glycerol_pfba_LB,glycerol_pfba_UB,glycerol_1_eflux2_flux,glycerol_1_trans_LB,glycerol_1_trans_UB,glycerol_1_eflux2_LB,glycerol_1_eflux2_UB,glycerol_2_eflux2_flux,glycerol_2_trans_LB,glycerol_2_trans_UB,glycerol_2_eflux2_LB,glycerol_2_eflux2_UB,glycerol_3_eflux2_flux,glycerol_3_trans_LB,glycerol_3_trans_UB,glycerol_3_eflux2_LB,glycerol_3_eflux2_UB
H2Otm,H2O transport mitochondrial,h2o[c] <=> h2o[m],-569.931599805605,-1000.0,-168.145405840018,-437.692804734923,-inf,inf,-1398.5278367950439,-427.2305256013973,-429.8661509822483,-inf,inf,-1421.5140299159061,-421.04054570271813,-411.38435158830254,-inf,inf,,
H2Ot,H2O transport via diffusion,h2o[e] <=> h2o[c],-356.302122592602,-535.973587260671,-204.247222430141,-220.74857444809655,-inf,inf,-233.06262996446492,-218.40945738131487,-219.908839322276,-inf,inf,-233.0626299662207,-217.3745892049132,-248.63621524067102,-inf,inf,,
EX_h2o_e,H2O exchange,h2o[e] <=> ,356.302122592602,204.247222430295,535.9735872605,220.74857444809655,-45545.36009732487,4554.5360097324865,218.4094573819707,233.06262996462434,219.908839322276,-48000.555224764714,4800.055522476471,217.37458920499964,233.0626299659567,248.63621524067102,-86840.8469927234,8684.08469927234,,
PIt2m,phosphate transporter mitochondrial,h[c] + pi[c] <=> h[m] + pi[m],313.718994308179,-167.631106825996,994.901042032895,230.39498114792292,-240.61613739416725,240.61613739416725,130.0600866283233,240.61613739416725,221.28202442852714,-271.6351420169435,271.6351420169435,97.97242657567287,271.6351420169435,210.05854658530146,-479.5351570938186,479.5351570938186,,
ATPS3m,ATP synthase mitochondrial,adp[m] + 3.0 h[c] + pi[m] --> atp[m] + h2o[m] + 2.0 h[m],310.12736055474,111.081662665291,646.84622023717,252.40586414078618,0.0,635.9043176788498,248.73012990070475,273.84027360492604,252.55232781479802,0.0,757.8327658885853,248.0446001934062,273.84027360861785,244.70066043857832,0.0,1201.529958991321,,
ATPtm_H,ADPATP transporter mitochondrial,adp[c] + atp[m] + h[c] --> adp[m] + atp[c] + h[m],309.548559134688,106.382209922354,657.794725175553,252.14200625859806,0.0,14802.469758431067,241.63505394388702,273.51271732830367,243.88649219076484,0.0,14899.756346208766,237.9161495187326,273.5127173303696,230.56389392485696,0.0,25444.715532255927,,
CYOR_u6m,ubiquinol 6 cytochrome c reductase,2.0 ficytc[m] + 1.5 h[m] + q6h2[m] --> 2.0 focytc[m] + 1.5 h[c] + q6[m],256.414569640796,83.638998882395,444.957894964702,208.6117848262992,0.0,720.618687459874,205.83826286479075,225.92141296340145,207.3623264491077,0.0,1248.8304452827035,204.28596059974743,225.92141296612874,199.95824442869412,0.0,1241.5635894549664,,
NADH2_u6cm,NADH dehydrogenase cytosolicmitochondrial,h[c] + nadh[c] + q6[m] --> nad[c] + q6h2[m],133.338732690947,0.0,444.85000610627,79.0447456965154,0.0,6535.850264686313,50.412694499467584,221.93881750919576,76.97225400472233,0.0,8310.528128284413,13.752810286605323,225.60920221822138,56.09963844597726,0.0,13380.611386332806,,
EX_o2_e,O2 exchange,o2[e] <=> ,-131.850538400781,-224.122956961134,-74.015015420888,-150.80203212339578,-45545.36009732487,4554.5360097324865,-170.24545413678882,-146.81511235504678,-149.33396571834416,-48000.555224764714,4800.055522476471,-170.2454541388008,-145.00409304592927,-118.73701101348253,-86840.8469927234,8684.08469927234,,
O2t,o2 transport diffusion ,o2[e] <=> o2[c],131.850538400781,74.015015420829,224.122956961221,150.80203212339578,-inf,inf,146.8151123553246,170.2454541366294,149.33396571834416,-inf,inf,145.00409304588126,170.2454541387384,118.73701101348253,-inf,inf,,
CYOOm,cytochrome c oxidase mitochondrial,4.0 focytc[m] + 6.0 h[m] + o2[m] --> 4.0 ficytc[m] + 2.0 h2o[m] + 6.0 h[c],128.207284820398,41.819499441753,222.478947481757,104.30589241315188,0.0,1916.4121168151382,102.91913143252975,112.9607064815914,103.68116322455627,0.0,2010.5512561444948,102.1429802998377,112.96070648314357,99.97912221434706,0.0,3859.467762897606,,
O2tm,O2 transport diffusion ,o2[c] <=> o2[m],128.207284820398,41.819499441267,222.4789474823,104.30589241315188,-inf,inf,102.91913143222915,112.96070648171893,103.68116322455627,-inf,inf,102.1429802999001,112.96070648307158,99.97912221434706,-inf,inf,,
NADH2_u6m,NADH dehydrogenase mitochondrial,h[m] + nadh[m] + q6[m] --> nad[m] + q6h2[m],122.836746801291,0.0,444.850006106097,129.4580452364282,0.0,6535.850264686313,0.0,158.97328174922072,130.2810937993041,0.0,8310.528128284413,0.0,190.77240802495973,141.74706342823148,0.0,13380.611386332806,,
GLYCt,glycerol transport via channel,glyc[c] <=> glyc[e],-100.0,-100.0,-100.0,-100.00000000000001,-10022.074307975947,10022.074307975947,-100.00000000000001,-100.00000000000001,-100.0,-10803.532964993019,10803.532964993019,-100.0,-100.0,-100.0,-23343.774920960972,23343.774920960972,,
GLYK,glycerol kinase,atp[c] + glyc[c] --> adp[c] + glyc3p[c] + h[c],100.0,0.0,173.539841457785,100.00000000000001,0.0,9112.579012192467,59.334745494647414,103.38877120878091,100.0,0.0,9481.693675213448,59.33474548384055,103.38877120968196,100.0,0.0,17652.57317244585,,
EX_glyc_e,Glycerol exchange,glyc[e] <=> ,-100.0,-100.0,-100.0,-100.00000000000001,-4554.5360097324865,4554.5360097324865,-100.00000000000001,-100.00000000000001,-100.0,-4800.055522476471,4800.055522476471,-100.0,-100.0,-100.0,-8684.08469927234,8684.08469927234,,
GLYC3Ptm,glycerol 3 phosphate shuttle,glyc3p[c] --> glyc3p[m],99.371276860011,0.0,189.767964080348,99.71338433104587,0.0,inf,59.05103567899487,100.60031745620078,99.71342442863039,0.0,inf,59.05103566818727,100.60031745643892,99.66370030431169,0.0,inf,,
DHAPtm,dihydroxyacetone phosphate transport mitochondrial,dhap[m] --> dhap[c],99.371276860011,0.0,189.767964080345,99.71338433104587,0.0,inf,59.05103568186423,100.60031745614157,99.71342442863039,0.0,inf,59.05103566547523,100.60031745647252,99.66370030431169,0.0,inf,,
G3PDm,glycerol 3 phosphate dehydrogenase FAD mitochondrial,glyc3p[m] + nad[m] --> dhap[m] + nadh[m],99.371276860011,0.0,189.767964080234,99.71338433104587,0.0,3153.1052795378,59.05103567792911,100.60031745622355,99.71342442863039,0.0,4034.8306710832726,59.05103566748646,100.60031745645333,99.66370030431169,0.0,6706.718613248027,,
NH4t,ammonia reversible transport,nh4[e] <=> nh4[c],99.307680330261,12.790354158326,225.310833786247,13.424257398181428,-3196.7832798711356,3196.7832798711356,12.790354158387721,16.984996867163023,13.422379342196864,-3451.2879212158077,3451.2879212158077,12.790354158345119,16.984996868278046,38.13335071725571,-7342.133090693786,7342.133090693786,,
EX_nh4_e,Ammonia exchange,nh4[e] <=> ,-99.307680330261,-225.310833785928,-12.790354158304,-13.424257398181428,-45545.36009732487,4554.5360097324865,-16.984996867131144,-12.790354158282966,-13.422379342196864,-48000.555224764714,4800.055522476471,-16.984996868148443,-12.790354158210718,-38.13335071725571,-86840.8469927234,8684.08469927234,,
TPI,triose phosphate isomerase,dhap[c] <=> g3p[c],83.255900733014,35.029733085055,95.479446828544,65.47589795101439,-423.75403034551056,423.75403034551056,56.38344444514193,67.24509234686143,66.03861614443802,-447.31717413958233,447.31717413958233,56.38344444356059,67.93500446534547,82.72901604479779,-1258.4107137715548,1258.4107137715548,,
PGK,phosphoglycerate kinase,3pg[c] + atp[c] <=> 13dpg[c] + adp[c],-73.407044300246,-91.03517388039,-30.514826155805,-60.88552522547331,-2630.1534549003163,2630.1534549003163,-62.70125912106636,-51.83961121843596,-61.44888561298179,-2996.7226632372854,2996.7226632372854,-63.39117123947842,-51.83961121714633,-76.40135030179192,-5193.603695246815,5193.603695246815,,
GAPD,glyceraldehyde 3 phosphate dehydrogenase,g3p[c] + nad[c] + pi[c] <=> 13dpg[c] + h[c] + nadh[c],73.407044300246,30.514826155854,91.035173880391,60.88552522547331,-23425.3906042172,23425.3906042172,51.839611218258334,62.70125912150359,61.44888561298179,-26359.600902789993,26359.600902789993,51.83961121717993,63.39117123942562,76.40135030179192,-45740.984609701256,45740.984609701256,,
GLNS,glutamine synthetase,atp[c] + glu_L[c] + nh4[c] --> adp[c] + gln_L[c] + h[c] + pi[c],60.322829902361,4.246694861544,400.803447650235,31.616782705023876,0.0,366.32133126278393,13.661878850904266,38.27503558805572,32.01411805275541,0.0,419.04484711219595,13.661878846995323,38.27503559146051,58.71017032077155,0.0,947.1731181496341,,
GLUDy,glutamate dehydrogenase NADP ,glu_L[c] + h2o[c] + nadp[c] <=> akg[c] + h[c] + nadph[c] + nh4[c],-47.773992652104,-279.215355226917,290.290370958614,16.357466981417467,-3838.1985861217613,3838.1985861217613,0.23858808169875098,24.851744819018723,16.477992977403296,-3757.435462439357,3757.435462439357,0.23858807809434243,24.851744822329128,14.062769414842483,-8600.109600230377,8600.109600230377,,
PGM,phosphoglycerate mutase,2pg[c] <=> 3pg[c],-42.873404318871,-91.03517388039,121.772244202498,-15.93306679333231,-4405.602682214234,4405.602682214234,-21.042894735467076,5.490587584496039,-17.61849256820492,-5356.381957531495,5356.381957531495,-23.11263109039092,5.490587586710556,-53.63240784189364,-8090.874873465047,8090.874873465047,,
ENO,enolase,2pg[c] <=> h2o[c] + pep[c],42.873404318871,-121.772244202484,91.035173880391,15.93306679333231,-6473.544212073172,6473.544212073172,-5.490587584842183,21.042894736519173,17.61849256820492,-7740.281532214209,7740.281532214209,-5.490587586393753,23.112631089622912,53.63240784189364,-12763.6940092965,12763.6940092965,,
PYK,pyruvate kinase,adp[c] + h[c] + pep[c] --> atp[c] + pyr[c],41.711704044073,0.0,401.618426535395,15.403483133678822,0.0,3104.827197834636,0.0,20.518680259202743,17.088982997407474,0.0,3583.4814503048096,0.0,22.588416614341295,53.01102233205546,0.0,6200.175952739472,,
CO2tm,CO2 transport diffusion mitochondrial,co2[c] <=> co2[m],-41.662432185542,-561.612774771978,-1.524487589612,-31.96738530681735,-inf,inf,-46.505277818150056,-22.888401003787585,-29.729932343181435,-inf,inf,-46.50527782280044,-19.271374282243567,-35.016833046582924,-inf,inf,,
CO2t,CO2 transporter via diffusion,co2[e] <=> co2[c],-40.933714113194,-131.930302076594,-0.0,-52.824928477084235,-inf,inf,-74.80938110127028,-48.031847637785994,-51.14387346448819,-inf,inf,-74.80938110426274,-45.96211128332177,-19.184522720291447,-inf,inf,,
EX_co2(e),CO2 exchange,co2[e] --> ,40.933714113194,0.0,131.930302076491,52.824928477084235,-0.0,4554.5360097324865,48.03184763677033,74.80938110182139,51.14387346448819,-0.0,4800.055522476471,45.962111283633774,74.80938110409474,19.184522720291447,-0.0,8684.08469927234,,
MTHFC,methenyltetrahydrofolate cyclohydrolase,h2o[c] + methf[c] <=> 10fthf[c] + h[c],36.167899297462,-17.219922442592,88.794026632851,0.5140103146992158,-686.5052127469777,686.5052127469777,-0.47702533114273066,1.632330858096177,0.5139384047170076,-745.0166176435731,745.0166176435731,-0.47702533150328835,1.632330858417097,8.802675098955424,-1091.5026058515405,1091.5026058515405,,
MTHFD,methylenetetrahydrofolate dehydrogenase NADP ,mlthf[c] + nadp[c] <=> methf[c] + nadph[c],36.167899297462,-395.243612656575,88.794026632851,0.5140103146992158,-686.5052127469777,686.5052127469777,-9.657514606029881,1.632330858096177,0.5139384047170076,-745.0166176435731,745.0166176435731,-9.657514609379573,1.632330858417097,8.802675098955424,-1091.5026058515405,1091.5026058515405,,
HCO3E,HCO3 equilibration reaction,co2[c] + h2o[c] <=> h[c] + hco3[c],34.54187534771,4.927587929955,472.252211978891,35.630058072509705,-inf,inf,25.235212246049485,47.98841669837692,37.092744996124296,-inf,inf,25.23521224559872,47.988416704303454,47.55825150935952,-inf,inf,,
PPA,inorganic diphosphatase,h2o[c] + ppi[c] --> h[c] + 2.0 pi[c],33.018780049285,12.104433839074,373.95373821707,55.54425853477882,0.0,4798.385867693563,49.146117232836914,68.18776687704927,51.05653642133795,0.0,5153.051605599391,48.11124905608406,68.51212526362112,33.198269160950865,0.0,9058.976635739928,,
PGCD,phosphoglycerate dehydrogenase,3pg[c] + nad[c] --> 3php[c] + h[c] + nadh[c],30.533639981375,0.0,183.13475009482,44.95245843214099,0.0,2976.935826681348,41.65836438492521,57.43803535554416,43.830393044776876,0.0,3049.571274539752,40.27854014958191,57.43803535628114,22.768942459898287,0.0,4477.774593485797,,
PSERT,phosphoserine transaminase,3php[c] + glu_L[c] --> akg[c] + pser_L[c],30.533639981375,0.0,183.134750094613,44.95245843214099,0.0,727.905945075446,41.65836438492521,57.43803535554416,43.830393044776876,0.0,631.2553017608807,40.27854014958191,57.43803535618994,22.768942459898287,0.0,1137.2677322167058,,
PSP_L,phosphoserine phosphatase L serine ,h2o[c] + pser_L[c] --> pi[c] + ser_L[c],30.533639981375,0.0,183.134750094612,44.95245843214099,0.0,489.65816640633966,41.65836438492521,57.43803535554416,43.830393044776876,0.0,475.54150061174397,40.27854014958671,57.43803535618994,22.768942459898287,0.0,803.6251980706623,,
