reaction_id,reaction_name,full_reaction,oleic_acid_pfba_flux,oleic_acid_pfba_LB,oleic_acid_pfba_UB,oleic_acid_1_eflux2_flux,oleic_acid_1_trans_LB,oleic_acid_1_trans_UB,oleic_acid_1_eflux2_LB,oleic_acid_1_eflux2_UB,oleic_acid_2_eflux2_flux,oleic_acid_2_trans_LB,oleic_acid_2_trans_UB,oleic_acid_2_eflux2_LB,oleic_acid_2_eflux2_UB,oleic_acid_3_eflux2_flux,oleic_acid_3_trans_LB,oleic_acid_3_trans_UB,oleic_acid_3_eflux2_LB,oleic_acid_3_eflux2_UB
H2Otm,H2O transport mitochondrial,h2o[c] <=> h2o[m],-3213.94614337531,-10000.0,-2707.10919398069,-2781.1683097338864,-inf,inf,-8539.44445548937,-2707.10919396768,-2781.168309733741,-inf,inf,-16315.576608203164,-2707.1091939667053,-2781.168309734162,-inf,inf,-12205.059693532787,-2707.1091939693733
ATPS3m,ATP synthase mitochondrial,adp[m] + 3.0 h[c] + pi[m] --> atp[m] + h2o[m] + 2.0 h[m],2082.55666880398,1989.67471048272,2205.16224254483,2024.9239499855266,0.0,5067.469586510142,1989.6747104870508,2205.1622425373257,2024.9239499853863,0.0,10759.576641282607,1989.674710480164,2205.1622425437763,2024.9239499857542,0.0,6823.178774757464,1989.6747104868111,2205.162242537426
ATPtm_H,ADPATP transporter mitochondrial,adp[c] + atp[m] + h[c] --> adp[m] + atp[c] + h[m],2080.1299272934198,1986.4098182664402,2364.57376610953,2022.536247553493,0.0,114752.32311540323,1986.4098182675557,2364.573766105047,2022.5362475533998,0.0,384779.9201381173,1986.4098182733146,2364.573766109412,2022.5362475536858,0.0,221251.2322588021,1986.4098182704604,2364.573766102165
PIt2m,phosphate transporter mitochondrial,h[c] + pi[c] <=> h[m] + pi[m],2080.1299272934198,752.90137955982,3048.3771410156496,2022.536247553493,-11101.332958065954,11101.332958065954,752.9013795658301,3048.3771410070303,2022.5362475533998,-19402.388608566696,19402.388608566696,752.9013795569239,3048.37714101677,2022.5362475536858,-16918.88940356527,16918.88940356527,752.9013795682376,3048.3771410023
CYOR_u6m,ubiquinol 6 cytochrome c reductase,2.0 ficytc[m] + 1.5 h[m] + q6h2[m] --> 2.0 focytc[m] + 1.5 h[c] + q6[m],1919.51397386795,1840.36534831297,1983.82432145493,1959.4176423628505,0.0,5833.267272571135,1840.3653483058251,1983.82432144522,1959.4176423627603,0.0,18209.777124812972,1840.365348305228,1983.8243214461495,1959.4176423630888,0.0,7331.942153906047,1840.3653483049002,1983.824321444981
EX_o2_e,O2 exchange,o2[e] <=> ,-1322.68533311101,-1354.50655800144,-1313.66124619098,-1342.4291885855102,-420536.8951460699,42053.68951460699,-1354.5065579959683,-1313.6612461851973,-1342.4291885854332,-965677.3147803453,96567.73147803453,-1354.5065579962525,-1313.6612461862273,-1342.42918858564,-668545.8333095693,66854.58333095693,-1354.5065579940767,-1313.6612461864304
O2t,o2 transport diffusion ,o2[e] <=> o2[c],1322.68533311101,1313.66124618605,1354.50655799191,1342.4291885855102,-inf,inf,1313.661246186459,1354.5065579939499,1342.4291885854332,-inf,inf,1313.66124618671,1354.506557994128,1342.42918858564,-inf,inf,1313.6612461867644,1354.5065579938764
MALOAAtp,malateoxaloacetate shuttle,mal_L[x] + oaa[c] <=> mal_L[c] + oaa[x],1254.85289179455,848.4807711907799,1374.76522272463,848.7649513500404,-inf,inf,848.4807711909565,1374.7652227387787,848.7649513500381,-inf,inf,848.4807711909525,1374.765222740068,848.764951350142,-inf,inf,848.4807711910267,1374.7652227397004
MDH,malate dehydrogenase,mal_L[c] + nad[c] <=> h[c] + nadh[c] + oaa[c],1099.7616699381701,349.59864201909,2072.31742580718,696.1686875939109,-41207.14874467795,41207.14874467795,349.5986420130977,2072.317425831915,696.1686875939027,-106055.51109575143,106055.51109575143,349.59864201469696,2072.3174258292715,696.168687593984,-71622.65221412077,71622.65221412077,349.59864201238673,2072.317425834869
CYOOm,cytochrome c oxidase mitochondrial,4.0 focytc[m] + 6.0 h[m] + o2[m] --> 4.0 ficytc[m] + 2.0 h2o[m] + 6.0 h[c],959.7569869339701,920.18267415167,991.91216072423,979.7088211814464,0.0,14707.016297048356,920.1826741535854,991.9121607223157,979.7088211814283,0.0,44703.13425581175,920.1826741505861,991.9121607236059,979.7088211815444,0.0,24317.686140802274,920.1826741532858,991.9121607220227
O2tm,O2 transport diffusion ,o2[c] <=> o2[m],959.7569869339701,920.18267415114,991.91216072454,979.7088211814464,-inf,inf,920.1826741513565,991.912160723367,979.7088211814283,-inf,inf,920.1826741521313,991.9121607208053,979.7088211815444,-inf,inf,920.1826741574307,991.9121607226243
H2Ot,H2O transport via diffusion,h2o[e] <=> h2o[c],-918.5029447822,-974.62869644246,-896.7722426446901,-931.0749161993456,-inf,inf,-974.628696445731,-896.772242645044,-931.0749161992892,-inf,inf,-974.6286964459113,-896.7722426430314,-931.074916199398,-inf,inf,-974.6286964461825,-896.7722426457871
EX_h2o_e,H2O exchange,h2o[e] <=> ,918.5029447822,896.77224264404,974.62869644596,931.0749161993456,-420536.8951460699,42053.68951460699,896.7722426422685,974.6286964480859,931.0749161992892,-965677.3147803453,96567.73147803453,896.772242644673,974.6286964472631,931.074916199398,-668545.8333095693,66854.58333095693,896.7722426432466,974.6286964454472
